推力,,电机1,电机2,电机3,电机4,陀螺仪：,方差1,方差2,方差3,,主频1,主频2,主频3,,加速度计：,方差1,方差2,方差3,,主频1,主频2,主频3,
pitch4,,528,606,597,647,,1.3,3.7,2.2999999999999998,,67,77,92,,,1.4,2.5,9,,68,77,92,
pitch6,,508,628,580,660,,1.8,2.2999999999999998,3.2,2.6,66,72,81,98,,2,1.4,1.5,9,66,72,81,97
pitch8,,487,646,563,679,,2.6,3,4,5,63,70,85,103,,3.2,5.8,7.3,7.1,63,70,86,103
pitch10,,472,668,539,694,,1.7,1.7,1.9,1.6,60,65,91,106,,1.1000000000000001,3.3,1.9,9,60,65,91,106
pitch12,,436,684,540,710,,4.8,8.4,0.6,,58,91,109,,,9,9,9,,59,90,93,
pitch14,,414,710,519,723,,6.1,6.7,8.6999999999999993,,56,95,102,,,9,9,9,,56,96,104,
pitch16,,383,727,505,746,,2.4,8.6999999999999993,8.4,,50,98,103,,,4.3,9,9,,51,56,99,
pitch18,,398,688,501,775,,1.5,2.6,1.1000000000000001,3.5,31,51,91,106,,0.5,1.2,9,0.8,31,51,63,91
pitch20,,378,704,488,788,,2.9,2.4,1.9,3.2,29,49,95,101,,1.5,9,2.2000000000000002,9,49,71,95,100
pitch22,,343,719,483,809,,3.2,8.1999999999999993,4.8,8.8000000000000007,26,46,89,96,,7.5,9,9,9,25,47,95,99
pitch24,,308,738,480,822,,1.9,2.8,8.1999999999999993,4.8,24,44,82,98,,4.7,9,3.6,9,25,44,98,104
pitch26,,321,763,433,828,,1.9,6.5,7.9,6,26,82,88,110,,4.5,9,9,7.8,26,38,103,110
pitch28,,302,789,402,845,,2.6,3.8,8.8000000000000007,6.1,22,74,80,105,,2.7,9,9,9,22,32,96,104
pitch30,,245,803,413,867,,1.3,8.3000000000000007,3.7,7,18,66,76,107,,9,9,9,9,19,34,96,107
roll-2,,557,594,637,591,,1.9,2.8,5.7,,66,76,83,,,4.5999999999999996,9,3,,66,76,83,
roll-4,,543,614,649,572,,4,2.2000000000000002,3.1,3.2,65,73,81,87,,1.1000000000000001,9,3.4,9,65,72,81,87
roll-6,,519,630,673,554,,3.2,5.4,2.2999999999999998,4,60,70,84,93,,4.0999999999999996,6.1,2.2999999999999998,9,61,70,84,92
roll-8,,498,646,693,537,,2.2000000000000002,2.7,3,5,57,67,90,97,,9,9,6,9,58,68,90,98
roll-10,,480,665,708,519,,3.2,2.4,4.2,4.8,54,65,94,103,,9,3.7,8.8000000000000007,9,55,65,94,103
roll-12,,470,690,714,496,,2.2999999999999998,2.8,5,4.3,54,59,99,104,,2.1,9,8.1999999999999993,8.1,54,60,100,103
roll-14,,454,705,732,476,,2.5,4.0999999999999996,7.2,,51,57,105,,,9,7.1,9,,51,56,106,
roll-16,,424,722,756,461,,2.2999999999999998,4.8,6.8,,47,54,108,,,9,9,9,,48,56,108,
roll-18,,422,722,753,466,,2.9,2.4,7.2,0.7,38,45,102,110,,3.3,3.6,7.9,9,38,46,102,105
roll-20,,395,733,775,456,,4.5,4,8,,35,47,104,,,6,9,9,,35,45,104,
roll-22,,386,756,789,422,,1.3,4,6.8,2.5,33,41,101,109,,5.8,9,9,7.3,34,41,101,109
roll-24,,365,774,807,402,,2.5,2.4,4.5,6.1,29,40,94,106,,1.4,9,9,9,29,39,95,106
roll-26,,341,789,817,395,,2.5,2.6,5,9,30,50,89,103,,3.9,9,9,9,29,37,91,103
roll-28,,341,817,829,350,,3.6,9,,,28,90,,,,9,9,,,29,92,,
roll-30,,304,825,853,348,,9,6.3,9,7,24,78,92,96,,9,9,9,9,23,30,77,96
roll2,,595,556,604,624,,2,1.9,1.8,,65,70,78,,,9,2,9,,67,70,78,
roll4,,611,534,589,645,,1.8,1.5,4.8,2,61,68,72,84,,1.6,6.8,9,2.9,61,68,72,85
roll6,,625,516,575,661,,3.2,2.5,4.5999999999999996,1.4,58,66,75,89,,5.6,3.5,9,9,59,66,75,90
roll8,,637,495,562,682,,1.4,4.2,2.9,3.6,55,65,79,95,,1.9,3.4,2.7,9,55,65,79,94
roll10,,641,459,564,709,,1.2,2.9,1.8,2,50,64,80,103,,1.3,9,2.1,5,50,65,80,103
roll12,,655,445,550,721,,2.8,4.7,4.3,6.1,47,63,82,109,,9,9,6.2,9,48,64,82,109
roll14,,676,440,524,729,,1.9,2.4,2.1,5.3,47,58,89,109,,9,9,2.2000000000000002,4.5999999999999996,47,59,89,109
roll16,,692,413,508,752,,2.2000000000000002,2.1,5.8,4.5,43,55,93,106,,9,9,9,6.9,43,55,93,106
roll18,,718,391,494,758,,2.2000000000000002,1.8,2.5,1,44,52,98,102,,1.5,2.9,1.8,3.6,44,52,98,101
roll20,,733,361,483,780,,3.8,1.9,7.8,9,39,51,92,100,,6,9,9,9,39,50,92,100
roll22,,750,333,470,799,,3.2,1.6,5.2,8.8000000000000007,37,47,87,105,,9,9,9,9,38,48,88,105
roll24,,773,311,441,819,,0.4,1.3,1.7,1.7,33,43,83,108,,0.4,9,9,2.2000000000000002,33,43,86,108
roll26,,782,293,435,830,,2.1,1.4,3.7,3.6,33,43,78,108,,2.9,9,9,4.8,33,42,97,108
roll28,,793,219,448,867,,3.5,9,8.1,9,25,43,57,108,,9,9,9,9,26,42,56,108
roll30,,789,175,477,881,,8.4,8.6,9,0.6,23,44,102,110,,9,9,9,2.8,23,44,102,109
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
